Natural Key;Dicofre;Freguesia;Concelho;Distrito;Latitude;Longitude
AlmancilLOULÉFARO;80801;Almancil;LOULÉ;FARO;-34072.996;-284379.12
Santa LuziaTAVIRAFARO;81408;Santa Luzia;TAVIRA;FARO;10146.0045;-289281.65
QuarteiraLOULÉFARO;80805;Quarteira;LOULÉ;FARO;41769.3682;-285300.14
Moncarapacho e FusetaOLHÃOFARO;81006;Moncarapacho e Fuseta;OLHÃO;FARO;-54417.989;-285231.32
Armação de PêraSILVESFARO;81303;Armação de Pêra;SILVES;FARO;30990.025;-287035.36
Conceição e EstoiFAROFARO;80507;Conceição e Estoi;FARO;FARO;-33869.842;-283061.91
Barão de São MiguelVILA DO BISPOFARO;81501;Barão de São Miguel;VILA DO BISPO;FARO;21498.8195;-286395.71
GuiaALBUFEIRAFARO;80102;Guia;ALBUFEIRA;FARO;-59701.17;-283433.64
Santa Bárbara de NexeFAROFARO;80503;Santa Bárbara de Nexe;FARO;FARO;-14477.147;-283282.32
FerreirasALBUFEIRAFARO;80104;Ferreiras;ALBUFEIRA;FARO;-27568.392;-283317.85
BudensVILA DO BISPOFARO;81502;Budens;VILA DO BISPO;FARO;-49227.723;-283520.41
BordeiraALJEZURFARO;80302;Bordeira;ALJEZUR;FARO;-62073.784;-285262.11
AlvorPORTIMÃOFARO;81101;Alvor;PORTIMÃO;FARO;-68224.495;-285209.8
Loulé (São Clemente)LOULÉFARO;80808;Loulé (São Clemente);LOULÉ;FARO;-68933.109;-276534.96
Luz de Tavira e Santo EstêvãoTAVIRAFARO;81411;Luz de Tavira e Santo Estêvão;TAVIRA;FARO;11850.6501;-280498.23
Estômbar e ParchalLAGOAFARO;80607;Estômbar e Parchal;LAGOA;FARO;-69159.394;-276203.93
BoliqueimeLOULÉFARO;80804;Boliqueime;LOULÉ;FARO;-69104.028;-275159.71
Loulé (São Sebastião)LOULÉFARO;80809;Loulé (São Sebastião);LOULÉ;FARO;-934.0133;-279939.55
Monte GordoVILA REAL DE SANTO ANTÓNIOFARO;81603;Monte Gordo;VILA REAL DE SANTO ANTÓNIO;FARO;-69556.851;-274337.8
OdiáxereLAGOSFARO;80704;Odiáxere;LAGOS;FARO;-69505.069;-274009.58
Alcantarilha e PêraSILVESFARO;81309;Alcantarilha e Pêra;SILVES;FARO;-46465.864;-278780.08
Algoz e TunesSILVESFARO;81310;Algoz e Tunes;SILVES;FARO;-18822.011;-279591.5
